Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
29,37,Cartajima,214,151,7,0
29,38,Cártama,18.517,9.594,177,164
29,39,Casabermeja,2.719,1.613,40,29
29,40,Casarabonela,1.922,1.163,23,20
29,41,Casares,3.486,1.908,52,29
29,42,Coín,14.317,8.240,155,99
29,43,Colmenar,2.475,1.379,39,40
29,44,Comares,762,454,5,4
29,45,Cómpeta,1.675,1.024,19,14
29,46,Cortes de la Frontera,2.569,1.561,51,19
29,47,Cuevas Bajas,1.088,827,17,8
29,49,Cuevas de San Marcos,2.924,1.801,27,11
29,48,Cuevas del Becerro,1.368,1.000,24,15
29,50,Cútar,399,230,1,4
29,30,El Borge,774,569,5,4
29,31,El Burgo,1.575,841,26,27
29,51,Estepona,41.441,22.217,444,323
29,52,Faraján,214,128,0,0
29,53,Frigiliana,1.689,981,11,28
29,54,Fuengirola,42.322,24.112,227,216
29,55,Fuente de Piedra,1.839,1.310,14,11
29,56,Gaucín,1.070,685,19,2
29,57,Genalguacil,331,229,5,0
29,58,Guaro,1.490,852,21,9
29,59,Humilladero,2.629,1.736,81,27
